pid_x,pid_y,pid_z,front_left_speed,front_right_speed,back_left_speed,back_right_speed,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,accel_rejected,mag_rejected,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
-11.9192,0,0,16.9192,16.9192,5,5,19.8654,0.541608,-12.901,0.0231493,-0.0925999,0.0121926,0,0,4.0775,-113.26,-1.82,-0.007564,-0.419802,-0.941474,-0.0511,0.24192,0.32438
-11.9799,0,0,16.9799,16.9799,5,5,19.9664,0.561211,-13.0094,0.0251154,-0.09021,0.0135558,0,0,4.1125,-113.278,-1.8375,-0.005246,-0.41907,-0.939522,-0.0511,0.24192,0.32438
-12.0415,0,0,17.0415,17.0415,5,5,20.0692,0.579412,-13.1153,0.0241904,-0.0903581,0.0163816,0,0,4.1825,-113.12,-1.75,-0.005856,-0.4209,-0.936106,-0.0511,0.24192,0.32438
-12.0993,0,0,17.0993,17.0993,5,5,20.1655,0.596532,-13.2201,0.0230412,-0.0881696,0.00830053,0,0,4.0425,-113.225,-1.89,-0.00671,-0.42029,-0.943548,-0.0511,0.24192,0.32438
-12.1565,0,0,17.1565,17.1565,5,5,20.2609,0.616427,-13.3253,0.0245163,-0.0855095,0.0125169,0,0,4.06,-113.173,-1.8375,-0.00488,-0.419192,-0.93879,-0.0511,0.24192,0.32438
-12.2116,0,0,17.2116,17.2116,5,5,20.3527,0.633844,-13.428,0.02239,-0.0813217,0.0135562,0,0,4.1125,-113.138,-1.785,-0.00671,-0.416508,-0.937204,-0.0511,0.24192,0.32438
-12.2668,0,0,17.2668,17.2668,5,5,20.4447,0.655357,-13.542,0.0259021,-0.082749,0.0122548,0,0,3.92,-113.33,-1.75,-0.002806,-0.419436,-0.937936,-0.0441,0.24584,0.33446
-12.3214,0,0,17.3214,17.3214,5,5,20.5356,0.67394,-13.6528,0.023634,-0.0797985,0.0157532,0,0,3.9725,-113.243,-1.715,-0.004758,-0.417972,-0.93391,-0.0441,0.24584,0.33446
-12.3735,0,0,17.3735,17.3735,5,5,20.6226,0.690378,-13.7613,0.0218893,-0.079478,0.00833141,0,0,3.885,-113.12,-1.6975,-0.006222,-0.41907,-0.940742,-0.0441,0.24584,0.33446
-12.4252,0,0,17.4252,17.4252,5,5,20.7087,0.709669,-13.8709,0.0238609,-0.0788057,0.00890357,0,0,3.8325,-113.383,-1.82,-0.003904,-0.419802,-0.939644,-0.0441,0.24584,0.33446
-12.4756,0,0,17.4756,17.4756,5,5,20.7927,0.730784,-13.9806,0.0248287,-0.0767044,0.00911781,0,0,3.885,-113.453,-1.7675,-0.002562,-0.41907,-0.938912,-0.0441,0.24584,0.33446
-12.525,0,0,17.525,17.525,5,5,20.875,0.744953,-14.0848,0.0198435,-0.0760957,0.00540726,0,0,4.025,-113.12,-1.8025,-0.00732,-0.419802,-0.942084,-0.0441,0.24584,0.33446
-12.5733,0,0,17.5733,17.5733,5,5,20.9555,0.763886,-14.1906,0.0226717,-0.0747851,0.00477879,0,0,4.165,-113.085,-1.75,-0.004148,-0.419802,-0.942206,-0.0441,0.24584,0.33446
-12.6213,0,0,17.6213,17.6213,5,5,21.0356,0.78421,-14.2961,0.0234104,-0.0727491,0.00894555,0,0,4.095,-113.103,-1.7325,-0.00305,-0.41907,-0.93757,-0.0441,0.24584,0.33446
-12.6694,0,0,17.6694,17.6694,5,5,21.1156,0.800681,-14.4057,0.0214222,-0.0732786,0.00757872,0,0,3.9725,-113.19,-1.68,-0.004758,-0.4209,-0.938424,-0.049,0.24948,0.32466
-12.7153,0,0,17.7153,17.7153,5,5,21.1922,0.819688,-14.5162,0.0227913,-0.0717899,0.00340369,0,0,4.1475,-113.33,-1.785,-0.00305,-0.420656,-0.942084,-0.049,0.24948,0.32466
-12.7592,0,0,17.7592,17.7592,5,5,21.2654,0.837109,-14.6253,0.0213939,-0.0682808,0.00441261,0,0,3.9725,-113.453,-1.8725,-0.004148,-0.418338,-0.94062,-0.049,0.24948,0.32466
-12.8024,0,0,17.8024,17.8024,5,5,21.3373,0.853777,-14.7324,0.020617,-0.06748,0.00358407,0,0,3.92,-113.278,-1.82,-0.004636,-0.418704,-0.940986,-0.049,0.24948,0.32466
-12.8444,0,0,17.8444,17.8444,5,5,21.4073,0.868984,-14.8374,0.0193798,-0.0660989,0.00288899,0,0,3.8325,-113.155,-1.7325,-0.005612,-0.41846,-0.94123,-0.049,0.24948,0.32466
-12.8877,0,0,17.8877,17.8877,5,5,21.4795,0.886889,-14.9427,0.021254,-0.0677367,0.00377631,0,0,4.0075,-113.138,-1.9425,-0.003416,-0.421266,-0.939888,-0.049,0.24948,0.32466
-12.9296,0,0,17.9296,17.9296,5,5,21.5493,0.902718,-15.0458,0.01952,-0.0663609,0.0014814,0,0,3.99,-112.998,-1.96,-0.00488,-0.421022,-0.941718,-0.049,0.24948,0.32466
-12.9716,0,0,17.9716,17.9716,5,5,21.6193,0.920093,-15.1483,0.0205531,-0.0652266,0.00496182,0,0,3.9375,-113.033,-1.7675,-0.003538,-0.421022,-0.937814,-0.049,0.24948,0.32466
-13.011,0,0,18.011,18.011,5,5,21.685,0.94015,-15.2413,0.0216609,-0.0625756,0.00244342,0,0,3.9725,-113.278,-1.7675,-0.002074,-0.419436,-0.939888,-0.04634,0.24374,0.32816
-13.0501,0,0,18.0501,18.0501,5,5,21.7502,0.957614,-15.3319,0.0201413,-0.0639623,-0.00142509,0,0,3.8675,-113.295,-1.75,-0.003294,-0.421876,-0.943304,-0.04634,0.24374,0.32816
-13.0888,0,0,18.0888,18.0888,5,5,21.8147,0.973629,-15.4205,0.0187685,-0.0612091,0.0023331,0,0,3.9725,-113.138,-1.7675,-0.004392,-0.420168,-0.939156,-0.04634,0.24374,0.32816
-13.1252,0,0,18.1252,18.1252,5,5,21.8753,0.992147,-15.5099,0.0199031,-0.0596192,-0.001508,0,0,3.8675,-113.015,-1.785,-0.002928,-0.419558,-0.942572,-0.04634,0.24374,0.32816
-13.1628,0,0,18.1628,18.1628,5,5,21.9379,1.00799,-15.5968,0.0182902,-0.0584851,0.00459613,0,0,3.92,-113.12,-1.8725,-0.00427,-0.419436,-0.936106,-0.04634,0.24374,0.32816
-13.1991,0,0,18.1991,18.1991,5,5,21.9986,1.02188,-15.6819,0.0169545,-0.057994,0.000630819,0,0,4.095,-113.173,-1.82,-0.005368,-0.419924,-0.939644,-0.04634,0.24374,0.32816
-13.2347,0,0,18.2347,18.2347,5,5,22.0579,1.03863,-15.7679,0.0186061,-0.0570362,0.00097534,0,0,3.99,-113.155,-1.855,-0.003416,-0.419924,-0.938912,-0.04634,0.24374,0.32816
-13.2703,0,0,18.2703,18.2703,5,5,22.1172,1.05102,-15.8503,0.0157171,-0.057423,-0.000154823,0,0,3.8325,-113.033,-1.9425,-0.0061,-0.421266,-0.939644,-0.04634,0.24374,0.32816
-13.3037,0,0,18.3037,18.3037,5,5,22.1728,1.0677,-15.9361,0.0180988,-0.054693,-0.00101792,0,0,3.8675,-112.998,-1.8375,-0.003416,-0.419436,-0.940132,-0.04242,0.24276,0.3276
-13.3374,0,0,18.3374,18.3374,5,5,22.229,1.07991,-16.0184,0.0153344,-0.0542757,0.000329374,0,0,3.815,-113.05,-1.75,-0.005978,-0.419924,-0.938424,-0.04242,0.24276,0.3276
-13.3701,0,0,18.3701,18.3701,5,5,22.2835,1.0956,-16.1021,0.0176119,-0.0538856,-0.00151119,0,0,3.8325,-113.208,-1.7325,-0.003416,-0.420412,-0.939888,-0.04242,0.24276,0.3276
-13.4037,0,0,18.4037,18.4037,5,5,22.3395,1.10901,-16.1834,0.016163,-0.0539603,0.000818562,0,0,3.885,-113.138,-1.75,-0.004636,-0.421388,-0.937204,-0.04242,0.24276,0.3276
-13.4357,0,0,18.4357,18.4357,5,5,22.3928,1.1203,-16.2629,0.0143867,-0.0513915,-0.000153811,0,0,4.0425,-113.103,-1.7675,-0.006222,-0.41968,-0.937814,-0.04242,0.24276,0.3276
-13.4683,0,0,18.4683,18.4683,5,5,22.4472,1.12974,-16.3408,0.0136145,-0.0521035,9.61737e-05,0,0,4.095,-113.4,-1.8025,-0.006832,-0.421266,-0.937204,-0.04242,0.24276,0.3276
-13.5,0,0,18.5,18.5,5,5,22.5,1.13935,-16.418,0.0134469,-0.051131,-0.000996917,0,0,4.1125,-113.33,-1.8725,-0.006832,-0.421144,-0.937936,-0.04242,0.24276,0.3276
-13.5307,0,0,18.5307,18.5307,5,5,22.5511,1.15296,-16.4967,0.0158821,-0.0498211,-0.000973876,0,0,4.1125,-113.33,-1.6975,-0.004148,-0.420656,-0.93757,-0.04242,0.24276,0.3276
-13.5611,0,0,18.5611,18.5611,5,5,22.6019,1.16476,-16.5737,0.0149473,-0.0498596,-0.00156371,0,0,4.025,-113.523,-1.645,-0.00488,-0.42151,-0.937814,-0.04242,0.24276,0.3276
-13.5913,0,0,18.5913,18.5913,5,5,22.6522,1.1742,-16.6486,0.0133246,-0.0501492,-0.00301132,0,0,3.9025,-113.418,-1.715,-0.006344,-0.422608,-0.938912,-0.05208,0.24682,0.32648
-13.6205,0,0,18.6205,18.6205,5,5,22.7008,1.18805,-16.7252,0.0157557,-0.0472926,0.000714475,0,0,3.815,-113.383,-1.715,-0.00366,-0.420534,-0.934886,-0.05208,0.24682,0.32648
-13.6491,0,0,18.6491,18.6491,5,5,22.7486,1.20151,-16.8011,0.0152778,-0.0462812,0.000633783,0,0,3.955,-113.365,-1.89,-0.003904,-0.42029,-0.934642,-0.05208,0.24682,0.32648
